"","X","B3","X18","X42","X22","X9","B1","X10","B8","X20","B7","C","X39","B11","X4","B10","X29","X2","B9","X19","B5","X33","X16","X40","D","X1","X17","B6","X3","X27","X12","X15","B4","X7","B2","X26","X13","X34","X32","X36","X35","X6","X5","X37","X23","B","X11","X28","X24"
"11","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae",0,0.0221354166666667,0,0,0,0,0.00390625,0.000868055555555556,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.000217013888888889,0,0,0,0,0.00368923611111111,0,0,0,0.000217013888888889,0,0,0,0
"12","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae",0.0190972222222222,0.0646701388888889,0.0503472222222222,0.09765625,0.0125868055555556,0.013671875,0.114366319444444,0.0193142361111111,0.0748697916666667,0.00607638888888889,0.0412326388888889,0.0451388888888889,0.00802951388888889,0.00173611111111111,0.000868055555555556,0.00130208333333333,0.00737847222222222,0.0115017361111111,0.161241319444444,0.0182291666666667,0.0512152777777778,0.021484375,0.0101996527777778,0.000434027777777778,0.00303819444444444,0.013671875,0.056640625,0.000868055555555556,0.0284288194444444,0.0629340277777778,0.000651041666666667,0.00368923611111111,0.0308159722222222,0.0201822916666667,0.0353732638888889,0.0143229166666667,0.0577256944444444,0.0286458333333333,0.0210503472222222,0.0766059027777778,0.0353732638888889,0.0193142361111111,0.00868055555555556,0.0327690972222222,0.0533854166666667,0.000868055555555556,0.029296875,0.0130208333333333
"13","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae",0.00390625,0.00238715277777778,0.00412326388888889,0.00108506944444444,0.000217013888888889,0.00108506944444444,0.0505642361111111,0.001953125,0.0427517361111111,0.00434027777777778,0.00542534722222222,0.0232204861111111,0.000868055555555556,0,0.000217013888888889,0,0,0.0399305555555556,0.0206163194444444,0.000651041666666667,0.00434027777777778,0.00368923611111111,0.000651041666666667,0.000217013888888889,0.00151909722222222,0.179470486111111,0.00151909722222222,0,0.0262586805555556,0.00846354166666667,0.000217013888888889,0.000217013888888889,0.00325520833333333,0.00282118055555556,0.000217013888888889,0,0.00629340277777778,0.000217013888888889,0.00108506944444444,0.00303819444444444,0.00303819444444444,0.00108506944444444,0.000434027777777778,0.000217013888888889,0.0310329861111111,0,0.00802951388888889,0.000217013888888889
"14","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Dietziaceae",0,0,0,0,0,0,0,0,0,0,0.000434027777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Mycobacteriaceae",0,0,0,0,0.000868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434027777777778
"16","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Nocardiaceae",0.00217013888888889,0.000651041666666667,0,0,0.000868055555555556,0,0.0193142361111111,0.000651041666666667,0.000434027777777778,0,0,0,0.001953125,0,0,0,0,0,0,0.000651041666666667,0.00607638888888889,0.001953125,0.00173611111111111,0,0.000217013888888889,0,0,0.000217013888888889,0,0,0,0,0.00130208333333333,0.001953125,0,0,0,0,0,0,0.001953125,0,0,0,0.000217013888888889,0,0.000868055555555556,0.000217013888888889
"17","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Frankiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Geodermatophilaceae",0,0,0,0,0.000434027777777778,0,0.00217013888888889,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282118055555556,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0.00108506944444444,0,0,0.000434027777777778
"19","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__uncultured",0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434027777777778
"20","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
